,Title,Published_date,Views,Likes,Comments,month
0,Dua Lipa - Houdini (Extended Edit) [Official Audio],2023-12-01,426762,34723,1981,Dec
1,Last night in LA celebrating HOUDINI ⛓🔐,2023-11-16,420062,31299,465,Nov
2,limited edition!! dropped houdini cassettes to celebrate for this week only thanks for the loveeee,2023-11-15,1072397,59267,534,Nov
3,Love seeing your videos tooooo #DuaLipaHoudini Brought to you by YouTube Shorts,2023-11-15,12040981,439730,1741,Nov
4,catch theseeee cassette's before they go Houdiniiiii on yaaa!!! 🔐🫀⛓️link in bio,2023-11-14,342277,20567,351,Nov
5,The making of HOUDINI 🖤,2023-11-14,268925,20376,230,Nov
6,my girl chloecaillet threw a crazy night in London and I got to go rave & celebrate Houdini!!! 🖤🖤,2023-11-14,582268,25566,885,Nov
7,the art of ghosting…,2023-11-12,561514,49744,433,Nov
8,tell me all the ways you need me 🖤 brought to you by YouTube Shorts #DuaLipaHoudini,2023-11-10,27814341,1187526,4598,Nov
9,catch these before they go…,2023-11-10,472612,43951,748,Nov
10,⛓️HOUDINI! OUT! NOW! EVERYWHERE!,2023-11-09,274353,23608,259,Nov
11,I'm not here for long 🔒 brought to you by YouTube Shorts #DuaLipaHoudini,2023-11-09,21687936,624160,2704,Nov
12,catch me or I go... HOUDINI🔐 brought to you by YouTube Shorts #DuaLipaHoudini,2023-11-09,53973442,2028291,5338,Nov
13,Dua Lipa - Houdini (Official Music Video),2023-11-09,41885583,760609,33986,Nov
14,HOUDINI - TOMORROW,2023-11-08,232090,18787,243,Nov
15,who’s ready to hear the rest…. 🔐,2023-11-06,575312,42515,632,Nov
16,studio behind the scenes on Houdini for youuuu 🔐,2023-11-06,111523,12407,240,Nov
17,I'm not here for long,2023-10-29,528557,42139,684,Oct
18,miss me?,2023-10-12,246104,28702,1058,Oct
19,🪩💕🪩 Dance The Night BTS,2023-08-16,1573090,88776,1059,Aug
20,The making of “Dance The Night” for Barbie 💖 #markronson #andrewwyatt #carolineailin 💖,2023-08-07,2153576,115733,482,Aug
21,Dance The Night is Top 5 in the UK! 💖,2023-08-03,2153863,117297,584,Aug
22,Dua Lipa - Dance The Night (From Barbie The Album) [Official Lyric Video],2023-07-24,15129038,144143,2606,Jul
23,Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video],2023-05-25,128830998,1418927,22107,May
24,London has my heart 💘,2022-05-04,1286055,54544,945,May
25,💚🧘🏻‍♀️#shorts,2022-04-27,1197682,49525,765,Apr
26,UK ~ Manchester April 15 ‘22 💖 #shorts,2022-04-19,2472801,92026,1514,Apr
27,North American leg of the Future Nostalgia tour down. UK up next!! 💘 #shorts,2022-04-08,682492,29721,349,Apr
28,GRAMMYS 22 🖤 #shorts,2022-04-06,1787741,75970,814,Apr
29,Livin in a dream world #shorts,2022-03-31,849968,45694,601,Mar
30,Recently…. @megantheestallion 🍦#shorts,2022-03-24,506120,19951,214,Mar
31,Sweetest Pie BTS out now on my channel!! 🍒 🥧 #shorts,2022-03-18,460559,20081,338,Mar
32,Megan Thee Stallion & Dua Lipa - Sweetest Pie [Official BTS],2022-03-18,2101198,61862,1573,Mar
33,Sweetest Pie 🍒🍒 OUT NOW!!! #sweetestpie #megxdua #shorts,2022-03-11,412477,20651,337,Mar
34,Dua Lipa - Love Again (Garabatto Remix) [Official Audio],2021-10-14,4401479,92262,2677,Oct
35,Dua Lipa - Love Again (Imanbek Remix) [Official Audio],2021-10-01,11083498,145883,3644,Oct
36,Dua Lipa - Levitating (Official Animated Music Video),2021-09-13,19514017,575153,16727,Sep
