,Title,Published_date,Views,Likes,Comments,month
0,"Lana Del Rey - Take Me Home, Country Roads (Official Audio)",2023-12-01,852028,101228,4261,Dec
1,"Rob Grant, Lana Del Rey - Hollywood Bowl (Visualiser)",2023-06-08,1063787,45194,1919,Jun
2,"Rob Grant, Lana Del Rey - Lost at Sea",2023-06-02,1845425,123880,4043,Jun
3,Lana Del Rey - Say Yes To Heaven (Sped Up),2023-05-19,1950266,80966,4302,May
4,Lana Del Rey - Say Yes To Heaven (Official Audio),2023-05-19,28793523,641961,24325,May
5,Lana Del Rey - Candy Necklace (Official Video) ft. Jon Batiste,2023-05-10,3649789,270617,17359,May
6,Lana Del Rey - Candy Necklace (feat. Jon Batiste) [Official Visualizer],2023-03-25,1564911,123121,5075,Mar
7,Lana Del Rey - Kintsugi (Audio),2023-03-24,1215036,46699,2220,Mar
8,"Lana Del Rey - Paris, Texas (Audio) ft. SYML",2023-03-24,4189550,108504,3476,Mar
9,Lana Del Rey - Candy Necklace (feat. Jon Batiste) [Audio],2023-03-24,2012708,82871,3919,Mar
10,Lana Del Rey - Let The Light In (Audio) ft. Father John Misty,2023-03-24,7577548,136866,2890,Mar
11,Lana Del Rey - Peppers (Audio) ft. Tommy Genesis,2023-03-24,9773067,189576,3107,Mar
12,Grandfather please stand on the shoulders of my father while he's deep-sea fishing (Audio),2023-03-24,697755,29801,1247,Mar
13,Lana Del Rey - Fishtail (Audio),2023-03-24,1423511,44442,1375,Mar
14,Lana Del Rey - Taco Truck x VB (Audio),2023-03-24,2392038,66815,2504,Mar
15,Lana Del Rey - Jon Batiste Interlude,2023-03-24,538672,20388,683,Mar
16,Lana Del Rey - Fingertips (Audio),2023-03-24,926700,36724,1437,Mar
17,Lana Del Rey - Judah Smith Interlude (Audio),2023-03-24,707195,27965,1871,Mar
18,Lana Del Rey - Margaret (Audio) ft. Bleachers,2023-03-24,1939650,64368,2921,Mar
19,Lana Del Rey - Sweet (Audio),2023-03-24,1669862,70478,4123,Mar
20,Lana Del Rey - The Grants (Audio),2023-03-14,3021601,129533,10122,Mar
21,Lana Del Rey - A&W (Audio),2023-02-14,8592593,292896,20321,Feb
22,Lana Del Rey - Did you know that there's a tunnel under Ocean Blvd (Audio),2022-12-07,10116295,388028,25038,Dec
23,"Lana Del Rey - Watercolor Eyes, from “Euphoria” an HBO Original Series (Lyric Video)",2022-01-21,14326759,440706,12760,Jan
24,Lana Del Rey - Arcadia (Live On The Late Show With Stephen Colbert/2021),2021-10-29,1721803,87963,3385,Oct
25,Lana Del Rey - Nectar Of The Gods (Official Audio),2021-10-22,1288892,37436,1373,Oct
26,Lana Del Rey - Beautiful (Official Audio),2021-10-22,1342370,42170,908,Oct
27,Lana Del Rey - Living Legend (Official Audio),2021-10-22,2266239,61364,1842,Oct
28,Lana Del Rey - Dealer (Official Audio),2021-10-22,22262651,360594,7493,Oct
29,Lana Del Rey - Thunder (Official Audio),2021-10-22,3885794,67259,1850,Oct
30,Lana Del Rey - Wildflower Wildfire (Official Audio),2021-10-22,876011,23239,511,Oct
31,Lana Del Rey - Blue Banisters (Official Audio),2021-10-22,818605,24313,486,Oct
32,Lana Del Rey - Interlude - The Trio (Official Audio),2021-10-22,1067830,31813,824,Oct
33,Lana Del Rey - Sweet Carolina (Official Audio),2021-10-22,1332329,35990,866,Oct
34,Lana Del Rey - Cherry Blossom (Official Audio),2021-10-22,1204749,40692,1295,Oct
35,Lana Del Rey - Black Bathing Suit (Official Audio),2021-10-22,3001872,61018,1825,Oct
36,Lana Del Rey - Text Book (Official Audio),2021-10-22,1832872,54934,1200,Oct
37,Lana Del Rey - Violets for Roses (Official Audio),2021-10-22,1941910,45859,817,Oct
38,Lana Del Rey - If You Lie Down With Me (Official Audio),2021-10-22,2987178,63080,1689,Oct
39,Lana Del Rey - Blue Banisters (Official Video),2021-10-20,6581889,246452,12379,Oct
40,Lana Del Rey - Arcadia (Alternate Video),2021-10-07,3086117,192701,10645,Oct
41,Lana Del Rey - Arcadia (Official Video),2021-09-08,9434777,387513,29730,Sep
42,Lana Del Rey - Text Book (Official Audio),2021-05-20,2680478,97265,6326,May
43,Lana Del Rey - Wildflower Wildfire (Official Audio),2021-05-20,2627242,101135,6728,May
44,Lana Del Rey - Blue Banisters (Official Audio),2021-05-20,2003939,87744,6858,May
45,Lana Del Rey - White Dress (Official Music Video),2021-03-19,12351451,359659,19046,Mar
46,Lana Del Rey - Breaking Up Slowly (Official Audio),2021-03-19,2040233,71472,3431,Mar
47,Lana Del Rey - Dark But Just A Game (Official Audio),2021-03-19,2357670,69919,2888,Mar
48,Lana Del Rey - Wild At Heart (Audio),2021-03-19,2414721,65552,2814,Mar
49,Lana Del Rey - Tulsa Jesus Freak (Official Audio),2021-03-19,3924690,88441,4519,Mar
50,Lana Del Rey - For Free (Audio),2021-03-19,919820,36204,2121,Mar
51,Lana Del Rey - Yosemite (Official Audio),2021-03-19,2796294,70801,4602,Mar
52,Lana Del Rey - Dance Till We Die (Audio),2021-03-19,1442384,52486,3059,Mar
53,Lana Del Rey - Not All Who Wander Are Lost (Official Audio),2021-03-19,1729238,59048,4970,Mar
54,Lana Del Rey - Chemtrails Over The Country Club (Official Music Video),2021-01-11,31705007,956429,70708,Jan
55,"Lana Del Rey - Let Me Love You Like A Woman (Live On ""Late Night With Jimmy Fallon"")",2020-12-28,10406596,276501,8280,Dec
56,Lana Del Rey - Chemtrails Over The Country Club (Teaser),2020-12-22,1124606,115161,7180,Dec
57,Lana Del Rey - Summertime (The Gershwin Version - Official Video),2020-11-19,4503111,287597,12761,Nov
58,Lana Del Rey - Let Me Love You Like A Woman (Official Music Video),2020-10-16,7976391,295709,14275,Oct
59,Lana Del Rey - Let Me Love You Like A Woman (Official Audio),2020-10-16,2448606,128348,9925,Oct
60,Lana Del Rey - Norman F***ing Rockwell (Official Music Video),2019-12-20,21351026,470361,17128,Dec
61,Lana Del Rey - Doin' Time,2019-08-29,129692057,2386945,53505,Aug
62,Lana Del Rey - Fuck it I love you / The greatest,2019-08-22,17605772,730427,32379,Aug
63,Lana Del Rey - Looking For America (Audio),2019-08-09,6526142,160631,5731,Aug
64,"Season Of The Witch (From The Motion Picture ""Scary Stories To Tell In The Dark"" / Audio)",2019-08-09,6915581,182351,5378,Aug
65,Lana Del Rey - Norman Fucking Rockwell! (Album Trailer),2019-08-01,2676493,258050,9341,Aug
66,Lana Del Rey - Doin Time (Official Audio),2019-05-17,40359159,566679,20548,May
67,hope is a dangerous thing for a woman like me to have - but i have it (Official Audio),2019-01-09,13129622,350837,15247,Jan
68,Lana Del Rey - Venice Bitch (Official Music Video),2018-09-18,24978495,449133,23735,Sep
69,Lana Del Rey - Mariners Apartment Complex,2018-09-12,34561177,613850,27642,Sep
70,LanaDelReyVEVO Live Stream,2017-12-04,0,522,2,Dec
71,Lana Del Rey - White Mustang (Official Music Video),2017-09-13,46769151,667644,22416,Sep
72,"Lana Del Rey - Summer Bummer (Official Audio) ft. A$AP Rocky, Playboi Carti",2017-07-13,33720302,446060,13237,Jul
73,Lana Del Rey - Groupie Love (Official Audio) ft. A$AP Rocky,2017-07-12,18082317,322359,11380,Jul
74,Lana Del Rey - Lust For Life (Official Video) ft. The Weeknd,2017-05-22,217469383,2157830,59934,May
75,Lana Del Rey - Coachella - Woodstock In My Mind,2017-05-15,11638751,265758,13272,May
76,Lana Del Rey - Lust For Life Album Trailer,2017-03-29,3503096,204742,11164,Mar
77,Lana Del Rey - Love,2017-02-20,223426234,2154748,77683,Feb
78,Lana Del Rey - Love (Official Audio),2017-02-18,6647528,142873,8510,Feb
79,Lana Del Rey - Freak,2016-02-10,37429218,556244,26774,Feb
80,Lana Del Rey - Music To Watch Boys To,2015-09-30,54372731,522389,16622,Sep
81,Lana Del Rey - Music To Watch Boys To (Official Audio),2015-09-11,5067121,84569,4176,Sep
82,Lana Del Rey - Honeymoon Sampler,2015-09-08,7239060,139170,4827,Sep
83,Lana Del Rey - Terrence Loves You (Official Audio),2015-08-21,14225423,184199,8630,Aug
84,Lana Del Rey - High By The Beach,2015-08-13,148115104,1236688,36558,Aug
85,Lana Del Rey - High By The Beach (Official Audio),2015-08-10,20555301,256822,10239,Aug
86,LANA DEL REY - HONEYMOON,2015-07-14,15161192,212018,10987,Jul
87,Lana Del Rey - I Can Fly (Official Audio),2014-12-19,7715708,90121,3044,Dec
88,Lana Del Rey - Big Eyes (Official Audio),2014-12-19,15905023,173551,4612,Dec
89,Lana Del Rey - Ultraviolence,2014-08-01,83808875,647031,15428,Aug
90,Lana Del Rey - Ultraviolence (Album Trailer),2014-06-18,2474023,78176,1950,Jun
91,Lana Del Rey - Shades Of Cool,2014-06-17,106011063,708790,24064,Jun
92,Lana Del Rey - Brooklyn Baby (Official Audio),2014-06-08,121609239,1017862,18290,Jun
93,Lana Del Rey - Ultraviolence (Audio),2014-06-04,23655576,221278,8675,Jun
94,Lana Del Rey - Shades of Cool (Official Audio),2014-05-26,14351821,162768,6854,May
95,Lana Del Rey - West Coast,2014-05-07,192794840,1464627,28839,May
96,Lana Del Rey - West Coast (Official Audio),2014-04-14,63739548,484255,17483,Apr
97,"Lana Del Rey, Cedric Gervais - Summertime Sadness [Lana Del Rey vs. Cedric Gervais]",2014-02-12,15016071,196213,2049,Feb
