,Title,Published_date,Views,Likes,Comments,month
0,sheer x 💗,2023-07-14,563797,24332,802,Jul
1,Rihanna - Lift Me Up (Live from the Oscars 2023),2023-03-13,4256711,119791,4525,Mar
2,🤫 #SBLVII #AppleMusicHalftime,2023-01-13,505614,29502,622,Jan
3,Rihanna - Born Again,2022-11-11,6475637,201356,5295,Nov
4,Rihanna - Born Again,2022-11-11,989814,40704,1680,Nov
5,Rihanna - Lift Me Up (Karaoke Video),2022-11-04,678179,14882,609,Nov
6,Rihanna - Lift Me Up (Behind The Scenes),2022-11-03,527146,24702,1186,Nov
7,"October 30, 2022",2022-10-30,294395,33732,435,Oct
8,Rihanna - Lift Me Up (Wakanda Forever Lyric Video),2022-10-30,14527630,268036,5371,Oct
9,Rihanna - Lift Me Up (From Black Panther: Wakanda Forever),2022-10-28,139864804,2438264,65493,Oct
10,Rihanna - Lift Me Up (Lyric Video),2022-10-28,3703366,118812,5328,Oct
11,Rihanna - Lift Me Up (Wakandan Lyric Video),2022-10-28,301478,21587,1340,Oct
12,Rihanna - Lift Me Up (Audio),2022-10-28,5867681,204351,10580,Oct
13,Rihanna - Lift Me Up (Instrumental Video),2022-10-28,729655,23786,973,Oct
14,Rihanna - Lift Me Up (Visualizer),2022-10-28,19473763,646081,26328,Oct
15,lift me up 10.28.22,2022-10-26,318906,35727,980,Oct
16,Rihanna - Replacement for We Ride,2022-09-10,0,865,0,Sep
17,The Making Of The Rihanna Book,2020-02-14,7222549,87345,8647,Feb
18,Rihanna - therihannabook.com,2019-10-07,2191523,43962,2227,Oct
19,#SAVAGEXFENTYSHOW - SEPT 20TH,2019-09-10,1496949,32570,1519,Sep
20,TUTORIAL TUESDAYS WITH RIHANNA: UNINVITED | FENTY BEAUTY (TRAILER),2018-10-23,1434517,37119,1711,Oct
21,The World of Savage X Fenty FW'18 Highlights,2018-09-21,695577,10108,274,Sep
22,The World of Savage X Fenty FW'18 Highlights,2018-09-20,550680,10705,302,Sep
23,Savage X Fenty FW '18 - Out Now,2018-09-16,561235,24054,1145,Sep
24,The World of Savage X Fenty FW ’18 – OFFICIAL,2018-09-13,2641193,52195,3159,Sep
25,Enter the World of Savage X Fenty FW '18 (Teaser 2),2018-09-12,456296,18246,720,Sep
26,Enter the World of Savage X Fenty FW '18 (Teaser),2018-09-11,289497,18128,1067,Sep
27,Rihanna Live Stream,2018-08-22,0,23,0,Aug
28,RihannaVEVO Live Stream,2017-12-04,0,91,0,Dec
