,Title,Published_date,Views,Likes,Comments,month
0,Zara Larsson - Winter Song (Official Lyric Video),2023-12-01,10285,551,32,Dec
1,Zara Larsson - Silent Night (Official Lyric Video),2023-12-01,12111,479,26,Dec
2,Zara Larsson - Light A Candle (Official Lyric Video),2023-12-01,13109,686,28,Dec
3,Zara Larsson - Tänd Ett Ljus (Official Lyric Video),2023-12-01,12758,733,40,Dec
4,Zara Larsson - Memory Lane (Official Lyric Video),2023-12-01,21018,1237,53,Dec
5,Zara Larsson - Sankta Lucia (Official Lyric Video),2023-12-01,6149,448,18,Dec
6,Zara Larsson - Memory Lane (Official Audio),2023-11-24,139625,5932,228,Nov
7,Zara Larsson - Winter Song (Official Audio),2023-11-24,76644,3191,105,Nov
8,"Zara Larsson, David Guetta, Felix Jaehn - On My Love (Felix Jaehn Remix - Official Audio)",2023-10-27,36261,1331,47,Oct
9,"Zara Larsson, David Guetta - On My Love (Official Live Acoustic Video)",2023-10-23,273706,9253,234,Oct
10,"Zara Larsson, Niklas Dee - On My Love (Niklas Dee Remix - Official Audio) ft. David Guetta",2023-10-20,20311,1104,49,Oct
11,I can’t believe I’ll never live in the same house as my sister again,2023-10-07,10499,735,22,Oct
12,Dog,2023-10-06,17492,1263,55,Oct
13,"Zara Larsson, David Guetta - On My Love (Live Acoustic - Official Audio)",2023-10-06,25636,1298,70,Oct
14,"Zara Larsson, David Guetta - On My Love (Sped Up - Official Audio)",2023-09-29,23744,966,36,Sep
15,"Zara Larsson, David Guetta - On My Love (Nightcore Remix - Official Audio)",2023-09-29,22794,829,27,Sep
16,"Zara Larsson, David Guetta - On My Love (Slowed Down - Official Audio)",2023-09-29,11350,635,23,Sep
17,#onmylove,2023-09-26,13151,691,15,Sep
18,On my love with @davidguetta  out now 🧚,2023-09-20,138134,8929,129,Sep
19,On my love out now!,2023-09-19,8118,744,21,Sep
20,"Zara Larsson, David Guetta - On My Love (Official Music Video)",2023-09-15,5881208,91573,1939,Sep
21,Have you pre saved yet???? @davidguetta,2023-09-14,78924,1412,30,Sep
22,"Zara Larsson, Kungs - End Of Time (Kungs Remix - Official Audio)",2023-07-14,58491,1362,53,Jul
23,Zara Larsson - AmazeVR Concert Trailer,2023-07-13,21243,965,43,Jul
24,Zara Larsson - End Of Time (SPINALL Remix - Official Audio),2023-07-07,21980,1047,53,Jul
25,Zara Larsson - End Of Time (Nightcore Remix - Lyrics),2023-06-30,20460,1004,31,Jun
26,Zara Larsson - End Of Time (Sped Up - Official Audio),2023-06-30,17337,930,34,Jun
27,"Zara Larsson, Justin Caruso - End Of Time (Justin Caruso Remix - Official Audio)",2023-06-30,16369,714,26,Jun
28,Zara Larsson - End Of Time (Low & Slow - Official Audio),2023-06-23,23071,1141,44,Jun
29,Zara Larsson - End Of Time (Nightcore Remix - Official Audio),2023-06-23,23033,1053,37,Jun
30,Zara Larsson - End Of Time (Behind The Scenes),2023-06-01,35483,1443,59,Jun
31,Little Z ❤️,2023-05-26,24949,1474,36,May
32,The boys are fucking ShaaAaAaAaAaAaking @drewafualo1247,2023-05-25,11139,525,23,May
33,Go watch babyyyyyy,2023-05-23,9809,612,25,May
34,Mmmmmmhmm!!,2023-05-22,36913,2469,98,May
35,Zara Larsson - End Of Time (Official Music Video),2023-05-19,3628045,46061,1312,May
36,Donatella VERSACE 🤍,2023-05-19,13822,874,22,May
37,Zara Larsson - End Of Time (Official Audio),2023-05-19,189362,5719,241,May
38,Tomorrow,2023-05-18,7265,610,24,May
39,Which one is your favorite?,2023-05-17,13946,1088,253,May
40,End Of Time out May 19,2023-05-16,4607,535,14,May
41,#endoftime,2023-05-15,10961,1069,47,May
42,"END OF TIME, out may 19.",2023-05-11,13411,1298,34,May
43,"Feel, I feel myself falling. All the blood rush to my head",2023-05-11,12065,786,20,May
44,Zara Larsson - Can't Tame Her (Alternate Cut),2023-04-14,5110376,39544,654,Apr
45,Can't Tame Her (DJ Smallz 732 Jersey Club Remix - Official Audio),2023-04-07,38064,1322,64,Apr
46,🍾🥳🎉🍸,2023-04-04,39908,1763,43,Apr
47,Ultra with @alesso,2023-04-03,117846,5195,72,Apr
48,Zara Larsson - Can't Tame Her (Live from Late Night with Seth Meyers),2023-03-22,405387,7698,360,Mar
49,!!!!!,2023-03-22,45893,2878,77,Mar
50,Zara Larsson - Can’t Tame Her (Nightcore Remix) (Lyrics),2023-03-17,51934,2281,114,Mar
51,Zara Larsson - Can't Tame Her (G-A-Y London Montage Video),2023-03-10,38133,1923,99,Mar
52,Zara Larsson - Can't Tame Her (Acoustic - Official Audio),2023-03-10,95192,3073,103,Mar
53,"Zara Larsson, VIZE - Can't Tame Her (VIZE Remix - Official Audio)",2023-03-03,152757,2745,64,Mar
54,Zara Larsson - Can't Tame Her (Nightcore Remix - Official Audio),2023-03-03,52835,1505,73,Mar
55,Zara Larsson - Can't Tame Her (Low & Slow - Official Audio),2023-03-03,43140,1539,56,Mar
56,Zara Larsson - Can't Tame Her (Behind The Scenes),2023-02-15,93805,3497,116,Feb
57,Yeah yeah yeah #canttameher,2023-02-08,31718,1869,75,Feb
58,My episode of Snacked with @FirstWeFeast is out nowwww 😋,2023-02-02,19530,1226,32,Feb
59,Dress on short short #canttameher,2023-01-31,26830,1628,73,Jan
60,Zara Larsson - Can't Tame Her (Official Lyric Video),2023-01-27,3029964,22509,417,Jan
61,Zara Larsson - Can't Tame Her (Official Music Video),2023-01-26,14589367,203238,5586,Jan
62,Stress MEEEE? No,2023-01-23,12992,1058,34,Jan
63,Can’t tame her out Jan 27th 🥶,2023-01-23,25441,1675,45,Jan
64,Rehearsals rehearsals,2023-01-20,55060,2996,54,Jan
65,It’s teasing time,2023-01-18,26452,1772,56,Jan
66,Merry Holidays Zlutzzzzzzz the IKEA show will be back on my channel for Christmas 🥰🥰,2022-12-20,17053,1049,33,Dec
67,25 🤪💅🏻🧚🏻🐙🌻✨,2022-12-16,67403,3108,100,Dec
68,it’s teasing time #shorts,2022-12-15,33875,1286,37,Dec
69,Rehearsals rehearsals rehearsals #shorts,2022-12-14,26523,1203,12,Dec
70,😋 #shorts,2022-12-13,15061,680,17,Dec
71,SUPERSTAR #shorts,2022-12-12,14972,852,19,Dec
72,she wanna party all night #shorts,2022-12-11,22295,863,16,Dec
73,pre show ritual 👹 #shorts,2022-12-09,13007,637,9,Dec
74,Come through crowd!!! #shorts,2022-12-08,17336,962,14,Dec
75,"I love this song, thank you for giving it love back!  #shorts",2022-12-07,77540,4976,116,Dec
76,I’m an artist @alesso,2022-08-01,185608,8543,137,Aug
77,Alesso & Zara Larsson  - ‘Words’ (Zara Live at Pink Pop Video),2022-06-27,1237268,18160,556,Jun
78,Alesso - Words (Feat. Zara Larsson) [Official Lyric Video],2022-05-13,1503265,36790,399,May
79,Stay Optimistic with Coca-Cola,2021-08-27,103524,3373,167,Aug
80,Zara Larsson - Lush Life (Retro Version - Official Audio),2021-08-27,338919,10681,332,Aug
81,Nobody Is An Island | Open Up Playlist,2021-08-13,127151,4768,254,Aug
82,Zara Larsson - Open Up One Sip At A Time,2021-07-16,126024,4230,286,Jul
83,Zara Larsson - I Need Love (Official Audio) ft. Trevor Daniel,2021-07-09,324246,10841,295,Jul
