,Title,Published_date,Views,Likes,Comments,month
0,"Halsey, SUGA - Lilith (Diablo IV Anthem)",2023-06-05,21083908,1132938,54628,Jun
1,about___artistry: Halsey’s Ombre Editorial Eyeliner,2023-05-22,48088,1806,82,May
2,about___artistry: Halsey’s Two-Toned Brush Stroke Eye Look,2023-05-17,49437,3260,177,May
3,about___artistry: Halsey’s Anti-Pop Art Festival Makeup,2023-05-12,50614,3867,190,May
4,Halsey for Vivienne Westwood #shorts,2023-03-08,92513,6565,104,Mar
5,Halsey for Vivienne Westwood,2023-03-08,75384,5738,206,Mar
6,Halsey - Die 4 Me,2023-02-24,6914122,150108,2636,Feb
7,“Die 4 Me” tomorrow @ midnight local time⚡️,2023-02-22,54149,4876,89,Feb
8,you were red…..,2022-08-22,252199,19199,331,Aug
9,cutieeeee day at universal studios japan ⭐️ i guess im a travel vlogger now lol,2022-08-05,247568,21953,258,Aug
10,"af94    :    Made to Play - clean, cruelty-free, vegan makeup for under $10",2022-07-25,67466,4407,168,Jul
11,Halsey - So Good (Stripped),2022-07-21,1303387,34493,694,Jul
12,what a stupid lamb.,2022-07-05,342706,23821,307,Jul
13,excited to reveal the exclusive vid for “So Good” I concepted & created w @cocacola!#CocaColaPartner,2022-06-30,109055,8879,100,Jun
14,Performed So Good in New York,2022-06-30,165790,15413,211,Jun
15,the So Good video is out now 🥹,2022-06-30,65626,6027,61,Jun
16,“So Good” Music Video behind the scenes. https://youtu.be/N6tv11_KMiM,2022-06-16,74134,7300,95,Jun
17,Halsey - So Good,2022-06-10,19192242,354969,7697,Jun
18,Halsey - So Good (Visualizer),2022-06-09,882441,39342,1669,Jun
19,Celebrate World Tarot Day with YouTube #YouTubeTarot #YouTubePartner http://tarot.withyoutube.com/,2022-06-07,45732,3157,40,Jun
20,Halsey - So Good (Teaser Trailer),2022-06-06,158386,17241,628,Jun
21,Join us as we support The Trevor Project this Pride by posting to  #YouTubePrideChallenge #sponsored,2022-06-04,208022,12777,223,Jun
22,"Halsey - If I Can't Have Love, I Want Power (Making Of Part 2)",2022-04-15,386452,14318,452,Apr
23,"Halsey - If I Can't Have Love, I Want Power (Making Of Part 1)",2022-04-06,373048,17802,611,Apr
24,Halsey - Girl is a Gun,2022-02-04,3104253,64610,1278,Feb
25,Halsey - You Should Be Sad (Live from Los Angeles),2022-01-14,821331,36320,641,Jan
26,Halsey - Gasoline (Live from Los Angeles),2022-01-10,1122738,39667,1097,Jan
27,Halsey - Nightmare (Live from Los Angeles),2022-01-03,584553,24726,550,Jan
28,Halsey - People Disappear Here (Lyric Video),2022-01-03,687110,17931,439,Jan
29,Halsey - Nightmare (Reprise) (Lyric Video),2022-01-03,263519,12982,351,Jan
30,Halsey - Ya'aburnee (Visualizer),2022-01-03,257134,7775,188,Jan
31,Halsey - Bells in Santa Fe (Visualizer),2022-01-03,97150,4033,144,Jan
32,Halsey - 1121 (Visualizer),2022-01-03,83120,3863,85,Jan
33,Halsey - Girl is a Gun (Visualizer),2022-01-03,67650,2986,57,Jan
34,Halsey - Lilith (Visualizer),2022-01-03,84697,3529,67,Jan
35,Halsey - honey (Visualizer),2022-01-03,81974,3728,83,Jan
36,"Halsey - I am not a woman, I'm a god (Visualizer)",2022-01-03,109292,4645,97,Jan
37,Halsey - You asked for this (Visualizer),2022-01-03,219887,4584,90,Jan
38,Halsey - Darling (Visualizer),2022-01-03,40917,2176,32,Jan
39,Halsey - Easier than Lying (Visualizer),2022-01-03,75862,4485,206,Jan
40,Halsey - The Tradition (Visualizer),2022-01-03,564444,12045,166,Jan
41,Halsey - The Lighthouse (Visualizer),2022-01-03,245052,5699,115,Jan
42,Halsey - Whispers (Visualizer),2022-01-03,323180,9055,184,Jan
43,Halsey - Girl is a Gun (Live from Los Angeles / 2021),2021-12-30,447527,19290,543,Dec
44,Halsey - The Tradition (Live from Los Angeles),2021-12-27,740942,28778,714,Dec
45,Halsey - Darling (Live from Los Angeles),2021-12-23,463186,22815,573,Dec
46,Halsey - Easier Than Lying (Live from Los Angeles),2021-12-20,745248,28657,742,Dec
47,Halsey - Lilith (Live from Los Angeles),2021-12-16,1318410,49905,1018,Dec
48,Halsey - You asked for this (Live from Los Angeles),2021-12-13,515312,22225,733,Dec
49,Halsey - honey (Live from Los Angeles),2021-12-08,1673876,45003,1083,Dec
50,"Halsey - I am not a woman, I'm a god (Lyric Video)",2021-10-15,728281,18337,451,Oct
51,Halsey - Darling (Live on SNL / 2021) ft. Lindsey Buckingham,2021-10-10,500922,29220,892,Oct
52,"Halsey - I am not a woman, I'm a god (Live on SNL / 2021)",2021-10-10,1016925,58350,1808,Oct
53,"""If I Can't Have Love, I Want Power"" - HBO MAX TRAILER",2021-10-08,150363,14512,482,Oct
54,"Halsey - I am not a woman, I'm a god (Underworld’s Drift Mix / Audio)",2021-09-30,128686,6387,240,Sep
55,"Halsey - I am not a woman, I'm a god (Hot Chip Remix / Audio)",2021-09-30,107258,3536,162,Sep
56,"Halsey - I am not a woman, I'm a god (On-U Sound Remix / Audio)",2021-09-30,68784,3500,173,Sep
57,"Halsey - I am not a woman, I'm a god (Gazelle Twin Remix / Audio)",2021-09-30,100153,3803,289,Sep
58,"Halsey - I am not a woman, I'm a god (Live from Los Angeles)",2021-09-18,2543974,106812,3349,Sep
59,Halsey x Trent Reznor x Atticus Ross - In Conversation from Capitol Studios,2021-09-01,277439,15762,721,Sep
60,"Halsey - Apple Music 'If I Can't Have Love, I Want Power’ Interview",2021-08-30,592937,35280,1368,Aug
61,Halsey - The Lighthouse (Lyric Video),2021-08-27,1868325,42516,1235,Aug
62,Halsey - Easier than Lying (Lyric Video),2021-08-27,2662553,56370,1194,Aug
63,Halsey - Girl is a Gun (Lyric Video),2021-08-27,2165284,44876,752,Aug
64,Halsey - Bells in Santa Fe (Lyric Video),2021-08-27,3408753,67257,1744,Aug
65,Halsey - Lilith (Lyric Video),2021-08-27,3873730,69660,1482,Aug
66,Halsey - You asked for this (Lyric Video),2021-08-27,1762493,34472,886,Aug
67,Halsey - Darling (Lyric Video),2021-08-27,2167320,42876,911,Aug
68,Halsey - Whispers (Lyric Video),2021-08-27,1849149,47511,938,Aug
69,Halsey - Ya'aburnee (Lyric Video),2021-08-27,1506703,43664,1139,Aug
70,Halsey - 1121 (Lyric Video),2021-08-27,2398457,55867,1028,Aug
71,Halsey - honey (Lyric Video),2021-08-27,2940031,57167,1930,Aug
72,Halsey - The Tradition (Lyric Video),2021-08-27,3177214,88985,2371,Aug
73,"Halsey - I am not a woman, I'm a god",2021-08-27,21175528,389534,10742,Aug
74,"If I Can't Have Love, I Want Power - woman/god Trailer",2021-07-29,1000331,71577,2474,Jul
75,"If I Can’t Have Love, I Want Power – Film Trailer",2021-07-13,2488226,185003,6686,Jul
76,HALSEY UNVEILS ALBUM ARTWORK AT THE METROPOLITAN MUSEUM OF ART,2021-07-07,728624,52970,2540,Jul
77,Halsey - Bad at Love (Vevo Presents),2021-04-03,230050,29145,1582,Apr
78,about-face: Anti-VDay,2021-02-09,2405001,128421,2938,Feb
79,about___golden,2021-01-14,597541,34488,2046,Jan
80,about___expression,2021-01-11,624927,56853,2616,Jan
81,about___romance,2021-01-08,663757,60590,2949,Jan
82,ABOUT - FACE,2021-01-04,481960,28055,485,Jan
83,Halsey - 3am (Stripped),2020-11-20,13133992,271455,6073,Nov
84,BERNIE AND HALSEY DISCUSS AMERICA - Episode 5: Humanity & Undoing Trump's Damage,2020-10-30,94113,3926,494,Oct
85,BERNIE AND HALSEY DISCUSS AMERICA - Episode 4: Reproductive Health & The Supreme Court,2020-10-30,32045,2333,184,Oct
